#Data tag : 24v2 , Norm tag: composite
+--------------+-------------------+------+----------------------------+----------------+---------------+
| run:fill     | time              | ncms | hltpath                    | delivered(/fb) | recorded(/fb) |
| 382685:9852  | 07/03/24 08:26:34 | 482  | HLT_PFHT280_QuadPFJet30_v7 | 0.001801489    | 0.001729412   |
| 382686:9852  | 07/03/24 11:40:25 | 141  | HLT_PFHT280_QuadPFJet30_v7 | 0.000439165    | 0.000426034   |
| 382725:9857  | 07/03/24 21:33:58 | 369  | HLT_PFHT280_QuadPFJet30_v7 | 0.001641125    | 0.001540246   |
| 382729:9859  | 07/04/24 06:43:25 | 55   | HLT_PFHT280_QuadPFJet30_v7 | 0.000158244    | 0.000148471   |
| 382730:9859  | 07/04/24 07:13:29 | 52   | HLT_PFHT280_QuadPFJet30_v7 | 0.000236109    | 0.000218942   |
| 382750:9860  | 07/04/24 11:35:32 | 530  | HLT_PFHT280_QuadPFJet30_v7 | 0.002482905    | 0.002319281   |
| 382752:9860  | 07/04/24 15:08:42 | 709  | HLT_PFHT280_QuadPFJet30_v7 | 0.003325783    | 0.003150124   |
| 382769:9861  | 07/05/24 00:19:42 | 1522 | HLT_PFHT280_QuadPFJet30_v7 | 0.006626221    | 0.006271084   |
| 382770:9861  | 07/05/24 10:19:22 | 586  | HLT_PFHT280_QuadPFJet30_v7 | 0.001650819    | 0.001600305   |
| 382791:9862  | 07/05/24 17:32:53 | 105  | HLT_PFHT280_QuadPFJet30_v7 | 0.000315940    | 0.000298529   |
| 382792:9862  | 07/05/24 18:18:12 | 80   | HLT_PFHT280_QuadPFJet30_v7 | 0.000386031    | 0.000309942   |
| 382794:9862  | 07/05/24 18:54:44 | 14   | HLT_PFHT280_QuadPFJet30_v7 | 0.000067631    | 0.000051712   |
| 382795:9862  | 07/05/24 19:03:19 | 468  | HLT_PFHT280_QuadPFJet30_v7 | 0.002262781    | 0.002124663   |
| 382799:9864  | 07/06/24 01:44:41 | 615  | HLT_PFHT280_QuadPFJet30_v7 | 0.002758746    | 0.002595679   |
| 382810:9865  | 07/06/24 09:09:34 | 70   | HLT_PFHT280_QuadPFJet30_v7 | 0.000187596    | 0.000178425   |
| 382811:9865  | 07/06/24 09:42:19 | 396  | HLT_PFHT280_QuadPFJet30_v7 | 0.001911739    | 0.001787144   |
| 382830:9867  | 07/06/24 23:56:53 | 75   | HLT_PFHT280_QuadPFJet30_v7 | 0.000230550    | 0.000222080   |
| 382834:9869  | 07/07/24 04:03:04 | 758  | HLT_PFHT280_QuadPFJet30_v7 | 0.003501060    | 0.003274713   |
| 382856:9871  | 07/07/24 12:22:27 | 421  | HLT_PFHT280_QuadPFJet30_v7 | 0.001936477    | 0.001795818   |
| 382878:9873  | 07/07/24 20:54:09 | 847  | HLT_PFHT280_QuadPFJet30_v7 | 0.003949991    | 0.003712735   |
| 382913:9877  | 07/08/24 14:41:36 | 2287 | HLT_PFHT280_QuadPFJet30_v7 | 0.008740638    | 0.008311992   |
| 382921:9878  | 07/09/24 08:24:31 | 1185 | HLT_PFHT280_QuadPFJet30_v7 | 0.003578523    | 0.003317000   |
| 382922:9878  | 07/09/24 16:44:19 | 83   | HLT_PFHT280_QuadPFJet30_v7 | 0.000336776    | 0.000289068   |
| 382924:9878  | 07/09/24 17:25:22 | 247  | HLT_PFHT280_QuadPFJet30_v7 | 0.000902679    | 0.000864710   |
| 382937:9879  | 07/09/24 21:42:48 | 473  | HLT_PFHT280_QuadPFJet30_v7 | 0.002175470    | 0.002052995   |
| 382960:9883  | 07/10/24 07:52:18 | 557  | HLT_PFHT280_QuadPFJet30_v7 | 0.002578294    | 0.002412076   |
| 383028:9885  | 07/11/24 01:48:44 | 89   | HLT_PFHT280_QuadPFJet30_v7 | 0.000331100    | 0.000310536   |
| 383034:9886  | 07/11/24 05:08:29 | 666  | HLT_PFHT280_QuadPFJet30_v7 | 0.003113944    | 0.002886383   |
| 383036:9886  | 07/11/24 09:34:23 | 58   | HLT_PFHT280_QuadPFJet30_v7 | 0.000279704    | 0.000256564   |
| 383134:9891  | 07/12/24 19:19:21 | 110  | HLT_PFHT280_QuadPFJet30_v7 | 0.000077942    | 0.000075494   |
| 383148:9895  | 07/13/24 04:50:42 | 537  | HLT_PFHT280_QuadPFJet30_v7 | 0.000397867    | 0.000387151   |
| 383153:9896  | 07/13/24 10:30:17 | 194  | HLT_PFHT280_QuadPFJet30_v7 | 0.000823771    | 0.000661657   |
| 383155:9896  | 07/13/24 11:58:32 | 1849 | HLT_PFHT280_QuadPFJet30_v7 | 0.007263044    | 0.006861862   |
| 383162:9899  | 07/14/24 03:43:21 | 1528 | HLT_PFHT280_QuadPFJet30_v7 | 0.005622052    | 0.005293649   |
| 383163:9899  | 07/14/24 13:49:37 | 514  | HLT_PFHT280_QuadPFJet30_v7 | 0.001646209    | 0.001582757   |
