#Data tag : 24v2 , Norm tag: composite
+--------------+-------------------+------+-------------------------+----------------+---------------+
| run:fill     | time              | ncms | hltpath                 | delivered(/fb) | recorded(/fb) |
| 380649:9618  | 05/13/24 01:56:15 | 401  | DST_PFScouting_JetHT_v2 | 0.168912668    | 0.159359458   |
| 380933:9651  | 05/19/24 16:19:32 | 773  | DST_PFScouting_JetHT_v2 | 0.012026086    | 0.011886862   |
| 380945:9653  | 05/20/24 06:39:35 | 245  | DST_PFScouting_JetHT_v2 | 0.100661698    | 0.094984174   |
| 380947:9653  | 05/20/24 11:38:49 | 823  | DST_PFScouting_JetHT_v2 | 0.264397583    | 0.256442339   |
| 380963:9654  | 05/20/24 20:42:43 | 922  | DST_PFScouting_JetHT_v3 | 0.371882883    | 0.354684763   |
| 381022:9659  | 05/21/24 23:53:15 | 586  | DST_PFScouting_JetHT_v3 | 0.214167437    | 0.202525362   |
| 381053:9661  | 05/22/24 09:14:55 | 108  | DST_PFScouting_JetHT_v3 | 0.033847071    | 0.032355940   |
| 381065:9662  | 05/22/24 12:16:48 | 791  | DST_PFScouting_JetHT_v3 | 0.350896167    | 0.328507047   |
| 381067:9662  | 05/22/24 17:33:10 | 313  | DST_PFScouting_JetHT_v3 | 0.123698143    | 0.118850488   |
| 381113:9664  | 05/23/24 18:23:22 | 234  | DST_PFScouting_JetHT_v3 | 0.092434003    | 0.087341334   |
| 381069:9662  | 05/22/24 20:20:02 | 307  | DST_PFScouting_JetHT_v3 | 0.098575098    | 0.093564541   |
| 381070:9662  | 05/22/24 22:21:18 | 425  | DST_PFScouting_JetHT_v3 | 0.115851656    | 0.113297764   |
| 381075:9663  | 05/23/24 03:44:42 | 426  | DST_PFScouting_JetHT_v3 | 0.184056378    | 0.173486014   |
| 381078:9663  | 05/23/24 06:53:58 | 334  | DST_PFScouting_JetHT_v3 | 0.144260754    | 0.134776654   |
| 381079:9663  | 05/23/24 09:06:56 | 396  | DST_PFScouting_JetHT_v3 | 0.139029667    | 0.132526351   |
| 381080:9663  | 05/23/24 11:44:26 | 336  | DST_PFScouting_JetHT_v3 | 0.098391363    | 0.094322214   |
| 381114:9664  | 05/23/24 20:11:10 | 458  | DST_PFScouting_JetHT_v3 | 0.210547463    | 0.196903115   |
| 381115:9664  | 05/23/24 23:12:32 | 1294 | DST_PFScouting_JetHT_v3 | 0.407971763    | 0.395036440   |
| 381147:9666  | 05/24/24 11:18:29 | 186  | DST_PFScouting_JetHT_v3 | 0.075376925    | 0.070591425   |
| 381148:9666  | 05/24/24 12:38:03 | 264  | DST_PFScouting_JetHT_v3 | 0.081571276    | 0.076038466   |
| 381149:9666  | 05/24/24 14:31:15 | 133  | DST_PFScouting_JetHT_v3 | 0.062432824    | 0.058211306   |
| 381150:9666  | 05/24/24 15:25:36 | 41   | DST_PFScouting_JetHT_v3 | 0.018716958    | 0.017518064   |
| 381151:9666  | 05/24/24 15:45:18 | 851  | DST_PFScouting_JetHT_v3 | 0.305241806    | 0.290881692   |
| 381152:9666  | 05/24/24 21:19:14 | 193  | DST_PFScouting_JetHT_v3 | 0.052703735    | 0.051063315   |
| 381164:9667  | 05/25/24 00:51:30 | 1147 | DST_PFScouting_JetHT_v3 | 0.517094555    | 0.483542055   |
| 381190:9670  | 05/25/24 13:16:44 | 1098 | DST_PFScouting_JetHT_v3 | 0.493326905    | 0.461764142   |
| 381191:9670  | 05/25/24 20:25:58 | 1121 | DST_PFScouting_JetHT_v3 | 0.335609512    | 0.325475207   |
| 381199:9672  | 05/26/24 09:25:18 | 150  | DST_PFScouting_JetHT_v3 | 0.056764611    | 0.052696453   |
| 381212:9674  | 05/27/24 04:02:15 | 372  | DST_PFScouting_JetHT_v3 | 0.167162649    | 0.156737286   |
| 381286:9677  | 05/27/24 16:09:15 | 711  | DST_PFScouting_JetHT_v3 | 0.325922761    | 0.301259101   |
| 381309:9680  | 05/28/24 06:47:14 | 425  | DST_PFScouting_JetHT_v3 | 0.192311089    | 0.180774982   |
| 381358:9683  | 05/28/24 18:58:02 | 3    | DST_PFScouting_JetHT_v3 | 0.000643621    | 0.000455269   |
| 381364:9684  | 05/28/24 21:34:05 | 382  | DST_PFScouting_JetHT_v3 | 0.166766207    | 0.155763654   |
| 381365:9684  | 05/29/24 00:22:44 | 595  | DST_PFScouting_JetHT_v3 | 0.234493103    | 0.254541876   |
| 381371:9686  | 05/29/24 06:46:06 | 194  | DST_PFScouting_JetHT_v3 | 0.079068585    | 0.074841393   |
| 381379:9687  | 05/29/24 10:50:00 | 833  | DST_PFScouting_JetHT_v3 | 0.375679299    | 0.350270414   |
| 381380:9687  | 05/29/24 16:17:34 | 1354 | DST_PFScouting_JetHT_v3 | 0.382457909    | 0.398045043   |
| 381384:9691  | 05/30/24 05:24:04 | 3482 | DST_PFScouting_JetHT_v3 | 1.047219728    | 1.003791187   |
| 381417:9694  | 05/31/24 13:50:23 | 1782 | DST_PFScouting_JetHT_v3 | 0.711280758    | 0.674108942   |
| 381443:9696  | 06/01/24 12:16:15 | 1517 | DST_PFScouting_JetHT_v3 | 0.620722355    | 0.587004433   |
| 381477:9700  | 06/02/24 11:50:04 | 278  | DST_PFScouting_JetHT_v3 | 0.116849585    | 0.110046666   |
| 381479:9700  | 06/02/24 13:58:03 | 434  | DST_PFScouting_JetHT_v3 | 0.204504526    | 0.191926418   |
| 381480:9700  | 06/02/24 16:48:38 | 1268 | DST_PFScouting_JetHT_v3 | 0.419249073    | 0.403416464   |
| 381484:9701  | 06/03/24 03:15:04 | 820  | DST_PFScouting_JetHT_v3 | 0.374195444    | 0.349895652   |
| 381499:9705  | 06/03/24 16:18:24 | 195  | DST_PFScouting_JetHT_v3 | 0.078658217    | 0.073385101   |
| 381500:9705  | 06/03/24 17:37:39 | 92   | DST_PFScouting_JetHT_v3 | 0.043431846    | 0.039486604   |
| 381515:9707  | 06/03/24 22:01:00 | 514  | DST_PFScouting_JetHT_v3 | 0.232288511    | 0.213977058   |
| 381516:9707  | 06/04/24 01:22:53 | 1667 | DST_PFScouting_JetHT_v3 | 0.583002095    | 0.554857774   |
| 381543:9708  | 06/04/24 14:37:55 | 512  | DST_PFScouting_JetHT_v3 | 0.235680806    | 0.221277706   |
| 381544:9708  | 06/04/24 18:12:43 | 1970 | DST_PFScouting_JetHT_v3 | 0.638592833    | 0.614665462   |
| 382229:9806  | 06/20/24 09:39:20 | 313  | DST_PFScouting_JetHT_v4 | 0.024005971    | 0.022671261   |
| 382250:9808  | 06/20/24 16:24:45 | 890  | DST_PFScouting_JetHT_v4 | 0.115007080    | 0.107741487   |
| 382255:9810  | 06/21/24 04:47:31 | 97   | DST_PFScouting_JetHT_v4 | 0.030850582    | 0.028324787   |
| 382256:9810  | 06/21/24 05:26:51 | 67   | DST_PFScouting_JetHT_v4 | 0.031184020    | 0.027662524   |
| 382257:9810  | 06/21/24 06:11:04 | 70   | DST_PFScouting_JetHT_v4 | 0.032581297    | 0.029028122   |
| 382258:9810  | 06/21/24 06:41:16 | 1147 | DST_PFScouting_JetHT_v4 | 0.500142997    | 0.479563173   |
| 382262:9810  | 06/21/24 14:31:56 | 253  | DST_PFScouting_JetHT_v4 | 0.079528721    | 0.076706921   |
| 382298:9812  | 06/21/24 19:39:36 | 53   | DST_PFScouting_JetHT_v4 | 0.014819054    | 0.014301652   |
| 382299:9812  | 06/21/24 20:38:11 | 807  | DST_PFScouting_JetHT_v4 | 0.385302964    | 0.356018355   |
| 382300:9812  | 06/22/24 01:55:26 | 1186 | DST_PFScouting_JetHT_v4 | 0.383863057    | 0.371886154   |
| 382313:9813  | 06/22/24 11:50:52 | 389  | DST_PFScouting_JetHT_v4 | -0.066661116   | -0.065862893  |
| 382314:9813  | 06/22/24 14:26:01 | 295  | DST_PFScouting_JetHT_v4 | 0.141770816    | 0.134388475   |
| 382328:9816  | 06/22/24 22:38:19 | 90   | DST_PFScouting_JetHT_v4 | 0.034044938    | 0.031049600   |
| 382329:9816  | 06/22/24 23:16:38 | 150  | DST_PFScouting_JetHT_v4 | 0.072058046    | 0.067790752   |
| 382343:9819  | 06/23/24 13:01:16 | 2208 | DST_PFScouting_JetHT_v4 | 0.887474963    | 0.834764173   |
| 382344:9819  | 06/24/24 03:22:08 | 355  | DST_PFScouting_JetHT_v4 | 0.129242766    | 0.124753402   |
| 382504:9832  | 06/27/24 14:22:09 | 349  | DST_PFScouting_JetHT_v4 | 0.152199034    | 0.144103336   |
| 382568:9838  | 06/28/24 23:55:16 | 406  | DST_PFScouting_JetHT_v4 | 0.180278708    | 0.169846637   |
| 382580:9840  | 06/29/24 07:43:50 | 1711 | DST_PFScouting_JetHT_v4 | 0.715948133    | 0.682358278   |
| 382594:9842  | 06/30/24 02:29:05 | 1406 | DST_PFScouting_JetHT_v4 | 0.589892899    | 0.561204315   |
| 382595:9842  | 06/30/24 11:37:12 | 854  | DST_PFScouting_JetHT_v4 | 0.261413229    | 0.253471967   |
| 382617:9843  | 06/30/24 19:33:03 | 701  | DST_PFScouting_JetHT_v4 | 0.305486276    | 0.291525750   |
| 382626:9846  | 07/01/24 07:24:48 | 359  | DST_PFScouting_JetHT_v4 | 0.161094620    | 0.151890989   |
| 382649:9848  | 07/01/24 14:36:50 | 482  | DST_PFScouting_JetHT_v4 | 0.217554376    | 0.198646374   |
| 382650:9848  | 07/01/24 17:47:17 | 234  | DST_PFScouting_JetHT_v4 | 0.113407987    | 0.107561022   |
| 382654:9849  | 07/01/24 21:54:59 | 1638 | DST_PFScouting_JetHT_v4 | 0.711073731    | 0.668253234   |
| 382655:9849  | 07/02/24 08:36:08 | 394  | DST_PFScouting_JetHT_v4 | 0.127167076    | 0.122715377   |
| 382656:9849  | 07/02/24 11:12:31 | 294  | DST_PFScouting_JetHT_v4 | 0.079482821    | 0.076842128   |
| 382679:9851  | 07/02/24 21:51:44 | 71   | DST_PFScouting_JetHT_v4 | 0.020696545    | 0.020178979   |
| 382684:9852  | 07/03/24 00:51:55 | 1164 | DST_PFScouting_JetHT_v4 | 0.545621757    | 0.510844963   |
| 382685:9852  | 07/03/24 08:26:34 | 482  | DST_PFScouting_JetHT_v4 | 0.180148913    | 0.172941214   |
| 382686:9852  | 07/03/24 11:40:25 | 141  | DST_PFScouting_JetHT_v4 | 0.043916510    | 0.042603430   |
| 382725:9857  | 07/03/24 21:33:58 | 369  | DST_PFScouting_JetHT_v4 | 0.164112535    | 0.154024645   |
| 382729:9859  | 07/04/24 06:43:25 | 55   | DST_PFScouting_JetHT_v4 | 0.015824445    | 0.014847128   |
| 382730:9859  | 07/04/24 07:13:29 | 52   | DST_PFScouting_JetHT_v4 | 0.023610874    | 0.021894200   |
| 382750:9860  | 07/04/24 11:35:32 | 530  | DST_PFScouting_JetHT_v4 | 0.248290501    | 0.231928138   |
| 382752:9860  | 07/04/24 15:08:42 | 709  | DST_PFScouting_JetHT_v4 | 0.332578266    | 0.315012442   |
| 382769:9861  | 07/05/24 00:19:42 | 1522 | DST_PFScouting_JetHT_v4 | 0.662622107    | 0.627108419   |
| 382770:9861  | 07/05/24 10:19:22 | 586  | DST_PFScouting_JetHT_v4 | 0.165081857    | 0.160030453   |
| 382791:9862  | 07/05/24 17:32:53 | 105  | DST_PFScouting_JetHT_v4 | 0.031593997    | 0.029852900   |
| 382792:9862  | 07/05/24 18:18:12 | 80   | DST_PFScouting_JetHT_v4 | 0.038603059    | 0.030994191   |
| 382794:9862  | 07/05/24 18:54:44 | 14   | DST_PFScouting_JetHT_v4 | 0.006763113    | 0.005171174   |
| 382795:9862  | 07/05/24 19:03:19 | 468  | DST_PFScouting_JetHT_v4 | 0.226278097    | 0.212466295   |
| 382799:9864  | 07/06/24 01:44:41 | 615  | DST_PFScouting_JetHT_v4 | 0.275874634    | 0.259567857   |
| 382810:9865  | 07/06/24 09:09:34 | 70   | DST_PFScouting_JetHT_v4 | 0.018759648    | 0.017842507   |
| 382811:9865  | 07/06/24 09:42:19 | 396  | DST_PFScouting_JetHT_v4 | 0.191173861    | 0.178714386   |
| 382830:9867  | 07/06/24 23:56:53 | 75   | DST_PFScouting_JetHT_v4 | 0.023055023    | 0.022208021   |
| 382834:9869  | 07/07/24 04:03:04 | 758  | DST_PFScouting_JetHT_v4 | 0.350106046    | 0.327471271   |
| 382856:9871  | 07/07/24 12:22:27 | 421  | DST_PFScouting_JetHT_v4 | 0.193647732    | 0.179581798   |
| 382878:9873  | 07/07/24 20:54:09 | 847  | DST_PFScouting_JetHT_v4 | 0.394999135    | 0.371273503   |
| 382913:9877  | 07/08/24 14:41:36 | 2287 | DST_PFScouting_JetHT_v4 | 0.874063782    | 0.831199243   |
| 382921:9878  | 07/09/24 08:24:31 | 1185 | DST_PFScouting_JetHT_v4 | 0.357852276    | 0.331700036   |
| 382922:9878  | 07/09/24 16:44:19 | 83   | DST_PFScouting_JetHT_v4 | 0.033677648    | 0.028906804   |
| 382924:9878  | 07/09/24 17:25:22 | 247  | DST_PFScouting_JetHT_v4 | 0.090267878    | 0.086471024   |
| 382937:9879  | 07/09/24 21:42:48 | 473  | DST_PFScouting_JetHT_v4 | 0.217546990    | 0.205299521   |
| 382960:9883  | 07/10/24 07:52:18 | 557  | DST_PFScouting_JetHT_v4 | 0.257829360    | 0.241207589   |
| 383028:9885  | 07/11/24 01:48:44 | 89   | DST_PFScouting_JetHT_v4 | 0.033109953    | 0.031053561   |
| 383034:9886  | 07/11/24 05:08:29 | 666  | DST_PFScouting_JetHT_v4 | 0.311394379    | 0.288638285   |
| 383036:9886  | 07/11/24 09:34:23 | 58   | DST_PFScouting_JetHT_v4 | 0.027970367    | 0.025656419   |
| 383134:9891  | 07/12/24 19:19:21 | 110  | DST_PFScouting_JetHT_v4 | 0.007794196    | 0.007549401   |
| 383148:9895  | 07/13/24 04:50:42 | 537  | DST_PFScouting_JetHT_v4 | 0.039786654    | 0.038715077   |
| 383153:9896  | 07/13/24 10:30:17 | 194  | DST_PFScouting_JetHT_v4 | 0.082377058    | 0.066165713   |
| 383155:9896  | 07/13/24 11:58:32 | 1849 | DST_PFScouting_JetHT_v4 | 0.726304429    | 0.686186240   |
| 383162:9899  | 07/14/24 03:43:21 | 1528 | DST_PFScouting_JetHT_v4 | 0.562205228    | 0.529364893   |
| 383163:9899  | 07/14/24 13:49:37 | 514  | DST_PFScouting_JetHT_v4 | 0.164620921    | 0.158275728   |
| 383173:9900  | 07/14/24 19:48:15 | 929  | DST_PFScouting_JetHT_v4 | 0.210081717    | 0.194970992   |
| 383174:9900  | 07/15/24 01:54:31 | 1021 | DST_PFScouting_JetHT_v4 | 0.263114333    | 0.244031980   |
| 383175:9900  | 07/15/24 08:35:34 | 158  | DST_PFScouting_JetHT_v4 | 0.042292332    | 0.039568584   |
| 383247:9904  | 07/15/24 23:52:58 | 108  | DST_PFScouting_JetHT_v4 | 0.041872152    | 0.039445771   |
| 383254:9905  | 07/16/24 03:16:42 | 1222 | DST_PFScouting_JetHT_v4 | 0.583456717    | 0.542437833   |
| 383255:9905  | 07/16/24 11:15:11 | 915  | DST_PFScouting_JetHT_v4 | 0.321410769    | 0.308294311   |
| 383275:9906  | 07/16/24 20:29:35 | 177  | DST_PFScouting_JetHT_v4 | 0.076443056    | 0.066804348   |
| 383276:9906  | 07/16/24 21:41:35 | 292  | DST_PFScouting_JetHT_v4 | 0.142594866    | 0.132986863   |
| 383277:9906  | 07/16/24 23:40:05 | 676  | DST_PFScouting_JetHT_v4 | 0.329269523    | 0.308858990   |
| 383323:9910  | 07/17/24 13:35:57 | 1259 | DST_PFScouting_JetHT_v4 | 0.545457795    | 0.506836765   |
| 383326:9910  | 07/17/24 22:14:32 | 516  | DST_PFScouting_JetHT_v4 | 0.014208692    | 0.010571517   |
| 383363:9911  | 07/18/24 09:52:44 | 738  | DST_PFScouting_JetHT_v4 | 0.345484470    | 0.322758991   |
| 383365:9911  | 07/18/24 14:48:58 | 49   | DST_PFScouting_JetHT_v4 | 0.023916431    | 0.021406435   |
| 383366:9911  | 07/18/24 15:11:12 | 27   | DST_PFScouting_JetHT_v4 | 0.013257732    | 0.011436310   |
| 383367:9911  | 07/18/24 15:24:35 | 176  | DST_PFScouting_JetHT_v4 | 0.085923473    | 0.079772130   |
| 383368:9911  | 07/18/24 17:16:22 | 1037 | DST_PFScouting_JetHT_v4 | 0.364001955    | 0.350574572   |
